id,title,designer,source_type,source_url,craft,technique,object,year,terms,terms_evidence,abbrev_list,special_stitches,special_stitch_names,placement_modifiers,stitches_used,gauge_stitch,gauge_form,turning_chain,turning_chain_by_stitch,tc_counts_as_stitch,tc_position,tc_color,foundation_form,first_stitch_in,round_join,stitch_marker_instructed,stitch_counts_given,shaping,repeats_stated,border,finishing_steps,has_chart,chart_type,chart_cell_means,chart_direction_stated,chart_row1_position,chart_key,written_also,rs_ws_stated,skill_level,hook_mm,hook_us,yarn_weight_form,yarn_brand_line,yarn_putup,yarn_amount_form,yarn_per_color,fiber_content,notions,finished_size,sizes_count,care,substitution_advice,video_links,copyright_terms,coder,confidence,notes,quotes
onhand-darlinplaidwashcloth-stitchberry,Darlin' Plaid Washcloth and Tea Towel,stitchberry,on-hand,local,crochet,rows,washcloth,unstated,US,declared,yes,no,none,none,ch;sc,sc,over-2in,1,single,unstated,end-of-row,unstated,chain-count,2,n/a,no,every-row,no,none,no,block;weave-ends,yes,symbol-diagram,unstated,no,unstated,no,yes,no,easy,yes,yes,both,yes,no,yards,yes,no,yes,yes,2,no,no,no,no,,high,"Coder agent-A. Base fabric is plain sc rows; plaid is added by surface crochet, which is not a technique value (coded rows; consider adding surface-crochet). Sl st is in the abbreviations list but never written in instructions. Surface crochet is placed ""in between the stitches""/""in between the rows"", a placement not in placement_modifiers. Two plaid grids are images not captured in the text; chart_type coded symbol-diagram as closest fit (a line-placement grid over a stitch grid, not a stitch chart) — codebook may need a value. chart_cell_means has no unstated value in the codebook; coded unstated. ""Notes For Grid"" prose explains the lines in lieu of a legend. Link is to a photo tutorial, not video. Washcloth says ""Do not fasten off""; fasten-off not instructed.","terms: ""This pattern is written in standard American Crochet Terms."" | gauge_form: ""Approximately 9 rows of 8 scs = 2 inches"" | turning_chain: ""Row 1: 1 sc in 2nd ch from hook, 1 sc in every ch across (32 sts). Ch 1, turn."" | tc_counts_as_stitch: unstated | foundation_form: ""Ch 33"" / ""Ch 49"" | round_join: n/a (worked in rows) | chart_cell_means: unstated; nearest statement: ""The blue lines do not represent the single crochets. Instead, the blue lines show where to work the surface crocheting. The vertical lines represent working in between the stitches. The horizontal lines represent working in between the rows."""
onhand-en-orcacrossbodybagpdfpattern,ORCA BAG CROCHET PATTERN,jins.crochetory (Jin),on-hand,local,crochet,tapestry,bag,unstated,US,declared,yes,yes,fsc;thermal stitch;whip stitch;seamless join,BLO;FLO,ch;sc;hdc;dc;tr;slst;fsc,sc,sts-and-rows-over-4in,varies,sc=1;dc=2,unstated,start-of-row,next,chain-count,2,n/a,no,every-row,yes,rows,yes,fasten-off;weave-ends;seam,yes,color-grid,one-stitch,yes,bottom-right,no,yes,yes,unstated,yes,no,name-only,yes,yes,mixed,yes,yes,yes,yes,1,no,yes,yes,yes,,medium,"Coder agent-A. Pattern calls panels ""tapestry crochet"" but yarn is NOT carried (intarsia-like); ""V-Stitch""/""X-Stitch"" means color-change method, not a stitch. Gauge given as 10 cm x 10 cm, coded as 4in. Edge increases use ""ch 3, turn, + 2 sc"" (chain worked into as extra sts) and ""+ 2 fsc"" at row ends: no codebook value for chain-based edge increase. Stitch marker in materials, never instructed. Border = sc edging on fins/tail only; body panels seamed. Chart is an image lost in extraction: one-stitch cell implied by 29 columns vs max 29 sts, key not visible. Thermal-stitch strap uses BLO + front loops of prior row. Stitch Fiddle progress links given.","terms: ""Abbreviations (US TERM)"" | gauge_form: ""With a 3mm hook, my gauge was: 10 cm x 10 cm = 20 M x 20 R (with sc)"" | turning_chain: ""To move on to the next round, you will always make one chain and turn/flip the work (indicated as ch 1, turn)."" / ""R 2: ch 3, turn, from the second stitch from the hook, 2 sc along the chain (This will be indicated as ch 3, turn, + 2 sc), 2 sc [4]"" / ""R 15: ch 2, turn, 1 dc, from here, 2 tr in one stitch x 9 times, 1 dc, 1 hdc [14]."" | tc_counts_as_stitch: unstated | tc_color: ""To change the color, finish off the last stitch in R 26 with white and continue on R 27 with white."" / ""R 27 - 86: (White) ch 1, turn, 6 sc [6]."" | foundation_form: ""R 1 [ ]: (Black) ch 10, from the second stitch from the hook, 9 sc [9]"" | round_join: n/a (worked in rows; no join statement) | chart_cell_means: no explicit statement; closest: ""You start crocheting from the bottom to the top. the number indicated on the left or right side is the row number in this order."" / ""R 1 ( ): To start, first make 10 chains. From the second stitch from the hook (indicated with a black arrow), make 9 sc [9]."" | chart_direction: ""For odd number of rows, you will work from right to left ( ) and for even number of rows, you will work from left to right ( )"""
onhand-hazelnuthenleysweatercrochetpattern-stit,Hazelnut Henley Sweater Crochet Pattern,stitchberry (stitchberryblog.com),on-hand,local,crochet,mixed,garment,unstated,US,declared,yes,no,none,BLO;FLO;3rd-loop;ch-sp,ch;slst;hdc;hdc2tog,hhdc,over-2in,1,single,unstated,end-of-row,unstated,chain-count,2,slst-and-ch,no,every-row,yes,rows,yes,fasten-off;weave-ends;seam,no,n/a,n/a,n/a,n/a,n/a,n/a,no,intermediate,yes,yes,both,yes,no,mixed,n/a,no,yes,yes,7,no,no,no,no,,high,"Coder agent-A. Technique mixed: panels/ribbing/cuff in rows; sleeves and neckline in joined rounds that are TURNED after each sl-st join (sleeve rows are labelled ""Row"" not ""Round""). Gauge stitch printed as ""hhdc"" (likely typo for hdc; coded as printed) and gauge given as 9 rows x 9 sts = 2 in. ""Stitches used"" list includes sc and sc tog which never appear in the instructions; hdc tog is used but not listed. Placement ""THIRD AND FRONT LOOP"" combines 3rd-loop and FLO in one instruction; codebook may want a combined value. Button Detail Row 3 lacks a stitch count (all other rows have one). Border = neckline edging only. written_also set n/a since no chart. Diagrams (arrows, green line, dotted seam lines) referenced but lost in text extraction. Ch 1 at joins used as both round join and turning chain.","terms: ""The pattern is worked in US crochet terms."" | gauge_form: ""9 rows of 9 hhdc = 2 inches"" | turning_chain: ""Row 1: 1 hdc in 2nd ch from hook, 1 hdc in every ch (12 sts). Ch 1, turn."" | tc_counts_as_stitch: unstated (pattern never says whether the ch 1 counts) | foundation_form: ""With H hook, ch 13."" | round_join: ""Row 1: Evenly hdc 60(64, 68, 72, 76, 80, 84) around the arm hole (60, 64, 68, 72, 76, 80, 84 sts). Sl st into first st, ch 1, TURN."" / ""Round 1: Evenly hdc around the neck. Sl st into first st, ch 1."" | chart_cell_means: n/a (no chart)"
onhand-outlander-tapestry,Outlander,Threadly Attraction,on-hand,local,crochet,tapestry,wall-hanging,unstated,unstated,none,yes,no,none,none,sc,unstated,unstated,unstated,unstated,unstated,unstated,unstated,unstated,unstated,n/a,no,none,no,none,no,block,yes,unstated,one-stitch,no,unstated,yes,no,yes,unstated,yes,no,cyc-number,yes,no,balls,yes,no,no,no,1,yes,yes,no,no,,medium,"Coder agent-A. Extraction is the cover/FAQ page only; the 72x118 chart itself is an image not captured in the text, so has_chart=yes rests on the ""Pattern""/""Key""/""Start"" headings and the stitch-by-row count, and chart_type is not codeable (codebook has no unstated value for chart_type). Stitch is written as ""single stitch"" not ""sc""; coded sc, terms left unstated. No row/turning-chain/foundation instructions at all: a pure chart-and-cover pattern. ""Key"" defines only RS/WS, coded as abbrev_list=yes. Yarn brand given (Loops and Thread) without a line name. Amount is ""1/3th of a Skein"" per color. Notions (dowel, steamer, starch, pins) appear only in FAQ, not a list. Care and substitution advice live in the FAQ.","terms: unstated | gauge_form: unstated | turning_chain: unstated | tc_counts_as_stitch: unstated | foundation_form: unstated | round_join: n/a (no rounds; ""72 stitches x 118 rows"") | chart_cell_means: ""8.7K Single Stitches - 72 stitches x 118 rows"" ; ""All single stitch"" | chart_key: ""Key: - [RS] = right side or front of tapestry - [WS] = wrong side or back of tapestry - All single stitch"" | hook_mm: ""I use a 4.5mm Hook"" | yarn_weight_form: ""you can use any Size 4 you like!"" | yarn_amount_form: ""All colors : 1/3th of a Skein"" | finishing_steps: ""How do I block the Tapestry? I personally like to use a steamer and dampen the tapestry"" | care: ""Can I wash it? I would use a lint roller and cloth wipes to spot treat as needed."" | substitution_advice: ""You can substitute any colors but you want to make sure that they have the same level of contrast so they don't blend together!"" ; ""Can I use other size yarn? Yes!"""
onhand-samplerstitchwashclothset-stitchberry,Sampler Stitch Washcloth Set (Waffle Stitch Washcloth; Ribbed Stitch Washcloth; Wattle Stitch Washcloth; Cobblestone Stitch Washcloth),stitchberry (grace),on-hand,local,crochet,rows,washcloth,unstated,US,declared,yes,yes,Hdc in 3rd loop (camel stitch),BLO;3rd-loop;FP;ch-sp,ch;slst;sc;hdc;dc;tr;fpdc,pattern,over-2in,varies,dc=2;hdc=1;sc=1,yes,start-of-row,unstated,chain-count,2,slst,no,every-row,no,rows,yes,fasten-off;weave-ends,no,n/a,n/a,n/a,n/a,n/a,no,no,"other:Intermediate (Waffle); Easy (Ribbed, Wattle, Cobblestone)",yes,yes,both,yes,no,yards,n/a,yes,yes,yes,1,no,yes,no,no,,medium,"File is a SET of 4 separate washcloth patterns (Waffle, Ribbed, Wattle, Cobblestone); single-row fields cannot capture the split. Per pattern: Waffle ch2 counts, start-of-row; Ribbed ch1 does not count, end-of-row (""Ch 1, turn""); Wattle ch1 ""counts as 1st st"", start-of-row, first st in 3rd ch (skips 2); Cobblestone ch1 does not count, end-of-row. tc_counts_as_stitch and tc_position coded from Waffle (first pattern) -- codebook needs a ""mixed"" value for both. round_join reflects border round only (rows pattern). Fiber: ""100% cotton works best"" is advice, not the used yarn's content. Amount also given as ""just over 1 skein"". Waffle Notes say ""round"" but means row. Coder: agent-A.","terms: ""This pattern is written in American Crochet Terms."" | gauge_form: ""5 rows of 6 sts following the waffle stitch pattern = 2 inches"" / ""5 rows of 8 hdc following the ribbing pattern = 2 inches"" / ""Approximately 6 rows of 8 scs = 2 inches"" | turning_chain: ""Row 2: Ch 2 [counts as 1st dc], *work 1 fpdc in next st..."" / ""Row 1: 1 hdc in 2nd ch from hook and in every ch across (37 sts). Ch 1, turn."" / ""Row 2: Ch 1 (counts as 1st st), skipping the first st..."" / ""Row 3: 1 sc in every st (32 sts). Ch 1, turn."" | tc_counts_as_stitch: ""The ch 2 at the beginning of each row does count as a st"" / ""Because the ch 2 counts as the first double crochet of every round, you will not be working a double crochet into the first st."" / ""The turning ch does not count as a st."" (Ribbed, Wattle notes, Cobblestone) / ""Ch 1 (counts as 1st st)"" (Wattle rows) | foundation_form: ""Ch 37"" / ""Ch 38"" / ""Ch 40"" / ""Ch 33"" | round_join: ""Border: Evenly sc around the washcloth working 2 scs in every corner, sl st into the first sc."""
onhand-thenancyafghanbyrubywebbs,The Nancy Afghan,Ruby Webbs,on-hand,local,crochet,rows,blanket,2016,unstated,inferred-from-stitches,yes,yes,fpdc;bpdc;fptr;cable,FP;BP,ch;hdc;dc;fpdc;bpdc;fptr,hdc,sts-and-rows-over-4in,1,single,no,start-of-row,unstated,chain-multiple,2,n/a,no,every-row,no,both,no,fasten-off;weave-ends,no,n/a,n/a,n/a,n/a,n/a,n/a,yes,unstated,yes,yes,both,yes,no,yards,n/a,no,no,yes,1,no,no,no,yes,,high,"Coder agent-A. Terms not declared; hdc/dc/fptr vocabulary implies US, not coded. Single ch-1 turn used before every row 2-95 even though rows are dc-height post stitches (hdc at row edges); row 1 has no separate turning chain (foundation chain 'for the turning Ch', dc in 2nd ch). Stitch guide defines standard sts (slst/hdc/dc) plus post sts and a 4-st fptr cable with photo steps. slst in abbrev list but never worked. 'Bernat Handicrafter Cotton' names fiber only via brand line, coded fiber_content=no. written_also set n/a (no chart; codebook allows only yes/no). Hook advice 'or hook needed to meet gauge' not coded as substitution. PDF extraction dropped 'fi' ligatures. Stitch counts given rows 1-5; later rows are 'repeat Row X'.","terms: unstated (no US/UK declaration) | gauge_form: ""Gauge: 13 hdc x 11 rows = 4” x 4” square"" | turning_chain: ""Pattern Notes: The afghan is made in Rows. The Ch 1 at the beginning of each row, DOES NOT count as a st."" / ""Row 2 (right side facing): Ch 1, hdc in first st, {fpdc in each of the next 4 sts, bpdc in each of the next 2 sts}, repeat to end of row until 5 sts remain, fpdc in each of the next 4 sts, hdc in last st, turn (138)"" | tc_counts_as_stitch: ""The Ch 1 at the beginning of each row, DOES NOT count as a st."" | foundation_form: ""Ch 139 or any multiple of 6 + 1 for the turning Ch, turn"" / ""Width: Make the foundation chain in multiples of 6 + 1, for example: 23 x 6 = 138 + 1 = Ch 139"" | round_join: n/a (worked in rows) | chart_cell_means: n/a (no chart)"
onhand-us-crochetnortheasterlypatternbykatystev,Crochet Northeasterly,Katy Stevens,on-hand,local,crochet,rows,blanket,unstated,US,declared,yes,no,ssc2tog,none,ch;fsc;sc;sc2tog;slst,unstated,sts-and-rows-over-4in,1,single,unstated,end-of-row,unstated,fsc,n/a,n/a,no,none,yes,none,no,fasten-off;weave-ends;block,no,n/a,n/a,n/a,n/a,n/a,no,no,unstated,yes,no,name-only,no,no,mixed,no,no,yes,yes,6,no,no,no,no,,medium,"Coder agent-A. Chevron strips worked in rows, joined-as-you-go with slst into the previous column (rows + JAYG; no technique value for this). Yarn amounts in grams and metres (not yards). Sizes: 3 blankets + 3 accessories (scarf, wrap, headband). Colour change = fasten off, then standing sc2tog replaces the turning chain (tc_color has no value for ""no chain, standing stitch""). ssc2tog listed in skills but never defined. Gauge stitch not named. Hook inconsistency: 3mm for sock on p1, 4mm in gauge. Border optional, not written. Two-column PDF text interleaves on p3. No stitch counts, no repeat rows (""Continue until..."").","terms: ""skills used (US terms):"" | gauge_form: ""DK: 18 sts and 20 rows = 10cm / 4” using a 5mm hook (unblocked)"" | turning_chain: ""Work 23 (29) fsc. Chain 1 and turn. Sc2tog; sc 9 (12); 3sc into next stitch (that’s all 3 into the same stitch); sc 9 (12); sc2tog. Ch1 and turn."" | tc_counts_as_stitch: unstated | foundation_form: ""Work 23 (29) fsc."" | round_join: n/a (worked in rows) | chart_cell_means: n/a (no chart)"
rcm-c2c-baby-sheep,Crochet Corner to Corner (C2C) Baby Sheep Graphgan,Sarah (Repeat Crafter Me),indie,https://www.repeatcrafterme.com/2015/07/crochet-corner-to-corner-c2c-baby-sheep.html,crochet,c2c,other,unstated,unstated,inferred-from-stitches,no,no,none,none,ch;sc;dc;slst,unstated,unstated,unstated,unstated,unstated,unstated,unstated,unstated,unstated,n/a,no,none,yes,none,yes,none,no,n/a,n/a,n/a,n/a,n/a,no,no,unstated,no,yes,name-only,yes,no,unstated,no,no,yes,yes,1,no,no,yes,yes,,low,"tutorial: blog post explaining C2C graphgan method; author says ""There is no specific pattern to follow"". The graph itself is an external paid Etsy cross-stitch chart, not included; post states graph direction (bottom-right corner, row by row, to top-left) and graph size (73x79, later 73x70 - inconsistent). C2C body instructions (start, increase, maintain, decrease, color change) are only in embedded videos. Terms inferred US from ""single crochet""/""SC""/""double crochet"". Border written in prose incl. inline picot definition (3 SC, *ch 3, sl st to first ch, SC in next 3*). ""Pen to mark your squares"" is a graph-marking aid, not a stitch marker. URL path shows 2015/07. Author comment reply says ~16 skeins, ~350 squares per skein. Coder: agent-A.","terms: unstated | gauge_form: unstated | turning_chain: unstated | tc_counts_as_stitch: unstated | foundation_form: unstated | round_join: n/a (body worked corner to corner in rows; border join not stated) | chart_cell_means: n/a (no chart included; related: ""you create these afghans by following a pixel graph, working from the bottom right hand corner, row by row, until you get the top left hand corner!"" and ""Remember to mark off each square as you go!"")"
xs-rose,Free Rose Cross Stitch Pattern,unstated,indie,https://xstitchify.com/free-rose-cross-stitch-pattern/,cross-stitch,mixed,other,unstated,n/a,none,no,no,none,none,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,no,none,no,none,no,none,yes,unstated,unstated,no,unstated,yes,no,no,intermediate,n/a,n/a,n/a,yes,no,unstated,no,no,yes,yes,3,no,yes,no,no,,low,"listing. Cross-stitch chart landing page from xstitchify.com; the chart itself is in a downloadable PDF not present in the text, so chart_type/cell/row1 are unstated. Codebook gaps: no `technique` value for counted cross-stitch (coded `mixed`); no cross-stitch equivalents for gauge (fabric count ""14 count Aida""), stitches_used, hook, yarn_weight (floss ""2 strands""). Total stitch count ""Stitches11165"" vs 139x200 grid = 27800 cells (unfilled background). sizes_count=3 is three fabric counts (14/16/18), not garment sizes. chart_key=yes from ""the 8 DMC embroidery floss colours listed in the chart"". Site name is the only maker credit; no designer named.","terms: unstated (n/a for cross-stitch) | gauge_form: unstated; fabric count given instead: ""Suggested fabric14 count Aida"" | turning_chain: n/a (cross-stitch) | tc_counts_as_stitch: n/a | foundation_form: n/a | round_join: n/a | chart_cell_means: unstated; only ""Size139 x 200 stitches"" and ""The chart is 139 x 200 stitches."""
ys-BRC0302-002577M,CROCHET CORNER TO CORNER AFGHAN,unstated,yarn-company,https://www.yarnspirations.com/products/bernat-crochet-corner-to-corner-afghan,crochet,c2c,blanket,unstated,unstated,inferred-from-stitches,yes,no,none,ch-sp,ch;dc;sl st,sc,sts-and-rows-over-4in,varies,inc-row=6;dec-row=3,unstated,start-of-row,next,chain-count,4,n/a,no,changes-only,yes,rows,no,fasten-off,no,n/a,n/a,n/a,n/a,n/a,n/a,yes,easy,yes,yes,unstated,yes,yes,balls,yes,no,yes,yes,1,no,no,no,no,,high,"Coder agent-A. Duplicate of raw/ys-bernat-crochet-corner-to-corner-afghan.txt (same PDF BRC0302-002577M; this copy lacks the SOURCE header). Two-column pdftotext layout interleaves columns; pattern is complete. Terms inferred US from sc/dc. ""Block""/""beg block"" are defined inline (""- block made"") not in a section; codebook may want a c2c ""block"" special-stitch value. Turning chain is the C2C beg-block ch 6 on increase rows and sl-st-across then ch 3 (inside block) on decrease rows; turning_chain_by_stitch is by row type, not stitch. Gauge given in sc though body is dc blocks. Block counts on rows 1,3-6 and target 58; none on row 2 or decrease rows. Finishing includes pompoms (not a codebook value). tc_color: ""6th row: With A, beg block"" so chain is in the new color.","terms: unstated | gauge_form: ""16 sc and 19 rows = 4"" [10 cm]."" | turning_chain: ""2nd row: Ch 6. 1 dc in 4th ch from hook. 1 dc in each of next 2 ch –beg block made."" / ""1st row: (RS). Sl st in each of first 3 dc and next ch-3 sp. Block in same ch-3 sp"" / ""(Sl st. Ch 3. 3 dc) in next ch-3 sp - block made. Turn."" | tc_counts_as_stitch: unstated | foundation_form: ""With MC, ch 6."" | round_join: n/a | chart_cell_means: n/a"
ys-RHC0502-39339M,Leaping into Spring Crochet Blanket,unstated,yarn-company,yarnspirations.com (pattern RHC0502-39339M; exact page URL not recorded in raw file),crochet,intarsia,blanket,2026,unstated,inferred-from-stitches,yes,no,splhdc (split half double crochet),none,ch;hdc;splhdc,splhdc,sts-and-rows-over-4in,1,single,no,start-of-row,unstated,chain-count,2,n/a,no,changes-only,no,rows,no,fasten-off,yes,color-grid,one-stitch,yes,unstated,no,no,yes,intermediate,yes,yes,both,yes,yes,mixed,yes,no,yes,yes,1,no,no,no,no,,medium,"Coder agent-A. Page 3 (the chart) is an image and absent from the text extraction, so chart_type=color-grid is assumed from intarsia context with 5 lettered colors and chart_key=no reflects only what the text shows; codebook may need `unstated` for chart_type/chart_key. Special stitch splhdc is defined inside the abbreviations list, not a separate section (coded special_stitches=no); splhdc is worked between the legs of the stitch, a placement not in the placement_modifiers list. Stitch count given only on row 1 (100 hdc); coded changes-only. terms inferred US from hdc and ""Size U.S. L/11"" hook label. Row 1 is RS and RS rows read right-to-left, but row 1's position on the chart is not stated. Raw file lacks the SOURCE header the fetch script writes.","terms: unstated | gauge_form: ""8.5 splhdc and 11.5 rows = 4” [10 cm]."" | turning_chain: ""2nd row: Ch 1. 1 splhdc in each st to end of row. Turn."" | tc_counts_as_stitch: ""Ch 1 at beg of rows does not count as stitch."" | foundation_form: ""With A, ch 101."" | round_join: n/a (worked in rows) | chart_cell_means: ""Each square on chart represents one stitch."" | chart_direction: ""Work in chart to end of Chart, reading RS rows from right to left and WS rows from left to right as follows:"""
ys-bernat-corner-to-corner-crochet-cactus-blanket,Corner to Corner Crochet Cactus Blanket,unstated,yarn-company,https://www.yarnspirations.com/products/bernat-corner-to-corner-crochet-cactus-blanket,crochet,c2c,blanket,unstated,unstated,inferred-from-stitches,yes,no,none,ch-sp,ch;sl st;sc;dc;rev sc,dc,sts-and-rows-over-4in,varies,inc-row=6;dec-row=3,yes,start-of-row,unstated,chain-count,4,slst,no,every-row,yes,rows,yes,fasten-off;seam,yes,color-grid,block,yes,bottom-left,yes,no,yes,intermediate,yes,yes,unstated,yes,yes,balls,yes,no,no,yes,1,no,no,no,no,,medium,"Coder agent-A. Noisy two-column PDF extraction; chart row numbers interleave with text, and a second unrelated pattern (Crochet Rose Garland) is appended after page 2 and was ignored. US terms inferred from sc/dc (not declared). Turning chain differs by row TYPE not stitch: increase rows begin ""Ch 6"" (3 foundation + ch 3 counting as dc), decrease rows begin with sl sts then ""Ch 3""; codebook needs a row-type key for C2C. ""Block""/""beg block"" defined inline in rows, not in a special-stitches section. Stitch counts are block counts per row, only in the written increase rows. Round join coded from border/flower rounds; body is rows. written_also=no: structural rows written but colour placement is chart-only. Direction from ""Start here"" label and row numbering, row 1 at bottom-left per layout. Sewing appliqué flowers coded as seam.","terms: unstated | gauge_form: ""7 dc and 4 rows = 4"" [10 cm] with larger hook."" | turning_chain: ""2nd row: Ch 6. 1 dc in 4th ch from hook. 1 dc in each of next 2 ch – beg block made."" ; ""Begin decreases: Next row: Sl st in each of first 3 dc. *Block in next ch-3 sp."" ; ""(Sl st. Ch 3. 3 dc) in next ch-3 sp - block made. Turn."" | tc_counts_as_stitch: ""Notes: Ch 3 at beg of row counts as dc."" | foundation_form: ""With MC and larger hook, ch 6."" | round_join: ""Join with sl st to first sc."" | chart_cell_means: ""Keeping cont of color changes in Chart (each square on grid represents 1 block), cont in this manner, increasing 1 block each row until there are 28 blocks."""
ys-bernat-crochet-corner-to-corner-afghan,Crochet Corner to Corner Afghan,unstated,yarn-company,https://www.yarnspirations.com/products/bernat-crochet-corner-to-corner-afghan,crochet,c2c,blanket,unstated,unstated,inferred-from-stitches,yes,no,none,ch-sp,ch;sl st;dc,sc,sts-and-rows-over-4in,varies,beg-block(increase rows)=6;block(decrease rows)=3,unstated,start-of-row,next,chain-count,4,n/a,no,every-row,yes,rows,no,fasten-off,no,n/a,n/a,n/a,n/a,n/a,n/a,yes,easy,yes,yes,unstated,yes,yes,balls,yes,no,yes,yes,1,no,no,no,no,,medium,"Two-column PDF text was interleaved in extraction; columns reconstructed by reading order. C2C in dc blocks: increase rows begin ""Ch 6, 1 dc in 4th ch from hook"" (beg block); decrease rows sl st across 3 dc and the ch-3 sp, then block = (sl st, ch 3, 3 dc). Turning chain varies by row phase (inc vs dec), not by stitch; codebook may want a c2c-specific value. ""block""/""beg block"" defined inline in row 2, no special-stitches section. Gauge given in sc though body uses only dc. Counts given in blocks on written increase rows only, none on decrease rows. Terms inferred US from sc/dc abbrevs. Stripe Pat 5 rows MC/5 rows A; color changes at row start. Pompoms are extra finishing not in list. Coder: agent-A.","terms: unstated (no declaration; abbreviations list ""Sc = Single crochet"", ""Dc = Double crochet"") | gauge_form: ""16 sc and 19 rows = 4"" [10 cm]."" | turning_chain: ""2nd row: Ch 6. 1 dc in 4th ch from hook. 1 dc in each of next 2 ch –beg block made. (Sl st. Ch 3. 3 dc) in next ch-3 sp - block made. Turn."" and ""1st row: (RS). Sl st in each of first 3 dc and next ch-3 sp. Block in same ch-3 sp as last sl st."" | tc_counts_as_stitch: unstated | tc_color: ""6th row: With A, beg block. (Block in next ch-3 sp) 5 times. Turn. 6 blocks."" | foundation_form: ""With MC, ch 6."" | round_join: n/a (worked in rows) | chart_cell_means: n/a (no chart)"
ys-caron-corner-to-corner-crochet-blanket,CORNER-TO-CORNER CROCHET BLANKET,unstated,yarn-company,https://www.yarnspirations.com/products/caron-corner-to-corner-crochet-blanket,crochet,c2c,blanket,2023,unstated,inferred-from-stitches,yes,no,none,ch-sp,ch;sc,pattern,sts-and-rows-over-4in,varies,inc-rows=3;dec-rows=2;last-row=1,yes,start-of-row,unstated,chain-count,3,n/a,no,none,yes,rows,no,fasten-off,no,n/a,n/a,n/a,n/a,n/a,no,yes,easy,yes,yes,both,yes,yes,balls,n/a,no,yes,yes,1,no,no,no,no,,medium,"Coder agent-A. Diagonal sc/ch-1 mesh worked corner to corner with inc rows then dec rows, not the 3-dc tile C2C; coded c2c per title/technique hint. Terms not declared; sc present suggests US. Turning chain varies by row phase (Ch 3 on inc rows, Ch 2 on dec rows, Ch 1 on final row), not by stitch, so turning_chain_by_stitch has no clean codebook value. tc_counts_as_stitch 'yes' rests on the foundation statement; the turning ch-3 is later worked into as 'last ch-3 sp'. Finishing also includes tassels (no codebook value). No chart, so written_also 'no' is really n/a. Yarn labelled 'A' but only one color. Two-column PDF text interleaved in extraction.","terms: unstated | gauge_form: ""11 sts and 12 rows = 4"" [10 cm] in sc/ch-1 pat"" | turning_chain: ""2nd row: Ch 3. Skip first sc. (1 sc. Ch 1. 1 sc) in ch-1 sp. Turn."" / ""Dec as follows: 1st row: (RS). Ch 2. Skip first sc."" / ""Next row: Ch 1. Skip first 2 sc. 1 sc in last ch-2 sp. Fasten off."" | tc_counts_as_stitch: ""1st row: (RS). 1 sc in 3rd ch from hook (counts as 1 sc. Ch 1. 1 sc). Turn."" | foundation_form: ""With A, ch 3."" | round_join: n/a | chart_cell_means: n/a"
ys-caron-corner-to-corner-crochet-motifs-blanket,Corner to Corner Crochet Motifs Blanket,unstated,yarn-company,https://www.yarnspirations.com/products/caron-corner-to-corner-crochet-motifs-blanket,crochet,c2c,blanket,unstated,unstated,inferred-from-stitches,yes,no,none,ch-sp,ch;slst;sc;hdc;dc,dc,sts-and-rows-over-4in,varies,dc-increase-row=6;dc-decrease-row=3,unstated,start-of-row,next,chain-count,4,slst,no,changes-only,yes,rows,yes,fasten-off;seam,yes,symbol-diagram,n/a,no,unstated,yes,yes,yes,easy,yes,yes,unstated,yes,yes,balls,yes,no,no,yes,1,no,no,no,no,,medium,"Two-column PDF text is interleaved; reconstructed by reading columns. Terms not declared; sc/hdc present imply US. C2C block-based motif (24 motifs, 9"" square, joined into 4 strips then blanket). Turning chain varies by row type not stitch: increase rows start ""Ch 6, 1 dc in 4th ch from hook"" (chain acts as first block), decrease rows sl st across then ""Ch 3"" - codebook has no C2C value for turning_chain_by_stitch. Whether the row chain counts is unstated; the only counts statement is on the edging round start chain: ""2nd rnd: Ch 2 (does not count as st)."" Edging rounds start ch 1 (sc) / ch 2 (hdc). Gauge also gives motif size ""Approx 9"" [23 cm] square"" (tile-like). Chart is a symbol diagram of the motif with ""REPEAT TO INCREASE/DECREASE BOTH SIDES"" labels and row numbers, plus an Assembly Diagram; row 1 placement ambiguous in extraction. Yarn weight number/name absent from extracted text (may have been a CYC icon). Colors joined ""at end of last row"" so the next row's chain is in the new color.","terms: unstated - no declaration of US/UK terms in the text | gauge_form: ""13 dc and 7 rows = 4"" [10 cm]"" and ""Motif: Approx 9"" [23 cm] square."" | turning_chain: ""2nd row: Ch 6. 1 dc in 4th ch from hook. 1 dc in each of next 2 ch."" and ""2nd row: Sl st in first 3 dc. *Sl st in next ch-3 sp. Ch 3. 3 dc in same sp as last sl st."" | tc_counts_as_stitch: unstated for the row turning chain; only statement is for the edging round: ""2nd rnd: Ch 2 (does not count as st)."" | foundation_form: ""With B, ch 6."" | round_join: ""Join with sl st to first sc."" and ""Join with sl st to first hdc. Fasten off."" | chart_cell_means: n/a - no statement; chart is a symbol diagram with ""STITCH KEY = chain (ch) = single crochet (sc) = double crochet (dc)"""
